W	PRON	NL	NN	NPN	BFNT	TFNT	NP
chaic	J1k	5	2	24	940184	25649	3
zimf	zImf	4	0	2	92844	0	4
briete	brit	6	0	15	296101	23026	4
ghless	glEs	6	0	4	461557	34569	4
phrote	fr5t	6	0	9	455618	29087	4
screic	skr1k	6	0	1	572373	7917	5
fernt	f3nt	5	2	8	385063	1143	4
stou	st6	4	2	10	1652628	20686	3
tilse	tIls	5	0	9	455138	24255	4
sneele	snil	6	1	6	574360	22581	4
breale	bril	6	0	12	911085	66167	4
cliell	kl2l	6	0	3	455779	46292	4
seach	siJ	5	5	28	754320	43723	3
ghiew	gju	5	0	18	555807	6978	3
kac	k{k	3	4	40	93370	0	3
poign	p4n	5	1	14	129764	11456	3
maib	m1b	4	4	15	206729	4306	3
kylck	kIlk	5	0	7	70659	0	4
phoobb	fub	6	0	6	360620	14078	3
cruig	krug	5	0	7	139196	3627	4
zource	z9s	6	1	12	604191	60119	3
gwek	gwEk	4	1	1	184003	65	4
sweeb	swib	5	2	5	365492	11749	4
blurle	bl3l	6	0	3	270203	4748	4
scatch	sk{J	6	3	7	730654	24155	4
swonck	swQNk	6	0	1	485833	11788	5
brerch	br3J	6	2	4	866992	14771	4
beebe	bib	5	0	17	535724	47307	3
sawp	s9p	4	3	21	117437	6723	3
troam	tr5m	5	0	6	325655	12898	4
ghuiv	guv	5	0	9	174708	0	3
mern	m3n	4	5	22	482166	1220	3
bremn	brEm	5	0	7	479234	7356	4
phrum	frVm	5	1	5	76354	2506	4
glaife	gl1f	6	0	2	338884	27016	4
smauv	sm9v	5	0	1	131196	10053	4
varfe	v#f	5	0	5	304513	466	3
stilb	stIlb	5	2	2	432568	35396	5
lourmn	l9m	6	0	20	626251	52193	3
flourc	fl9k	6	0	10	631093	61677	4
stroc	strQk	5	1	6	512925	32799	5
colce	kQls	5	0	7	232053	3403	4
jorv	_9v	4	0	5	381630	0	3
squemp	skwEmp	6	0	0	100107	5710	6
swuitt	swut	6	0	8	396868	11390	4
blolte	blQlt	6	0	1	285855	6533	5
thrysh	TrIS	6	3	5	2114954	33043	4
gloush	gl6S	6	0	0	817914	28945	4
thirse	T3s	6	1	9	2674411	155973	3
taite	t1t	5	2	32	628738	26833	3
throol	Trul	6	0	3	2323539	79035	4
drante	dr{nt	6	0	1	962974	36913	5
rooke	ruk	5	1	24	509691	70587	3
trote	tr5t	5	5	9	475158	14409	4
gwurck	gw3k	6	0	1	159360	4112	4
whaise	w1s	6	1	25	1507353	60987	3
shrile	Sr2l	6	3	3	520779	27258	4
fleth	flET	5	1	5	2111869	10579	4
shrare	Sr8	6	0	2	891337	91605	3
gnomf	nQmf	5	1	1	347821	84	4
twaun	tw9n	5	1	4	355841	1648	4
gwawp	gw9p	5	0	0	270653	5	4
domn	dQm	4	3	23	302974	266	3
kylch	kIlJ	5	0	6	200039	270	4
treuff	truf	6	0	6	474210	17065	4
smusp	smVsp	5	0	0	216378	15687	5
coont	kunt	5	2	5	552953	19974	4
gwighn	gw2n	6	0	3	367912	63436	4
splam	spl{m	5	2	2	219793	31039	5
drirv	dr3v	5	0	2	208736	5679	4
phap	f{p	4	1	21	571716	2679	3
blieth	bl2T	6	0	2	2108930	5853	4
voarce	v9s	6	0	15	368354	12766	3
ghloag	gl5g	6	0	4	239836	1976	4
trose	tr5s	5	3	9	568094	45107	4
scrurl	skr3l	6	0	2	167405	5661	5
yeep	jip	4	8	14	257791	12986	3
tirgue	t3g	6	0	12	206848	5075	3
sworlt	sw9lt	6	0	0	530291	58054	5
ralce	r{ls	5	0	4	286399	871	4
pourth	p9T	6	1	17	2474770	69831	3
queaff	kwif	6	0	3	271044	5219	4
sprule	sprul	6	1	2	327852	10092	5
grooce	grus	6	1	9	476519	32783	4
troate	tr5t	6	0	9	767269	39177	4
dylc	dIlk	4	0	3	2332	0	4
gweuc	gwuk	5	0	0	217593	72	4
wruce	rus	5	1	20	167188	2182	3
bloine	bl4n	6	0	1	770524	34256	4
plergn	pl3n	6	0	3	421735	4254	4
creul	krul	5	1	9	524572	4250	4
yoarmn	j9m	6	0	12	433971	12942	3
snursh	sn3S	6	0	0	306035	14407	4
foof	fuf	4	9	10	847530	9727	3
neec	nik	4	1	30	363563	14001	3
peeme	pim	5	1	27	514593	28267	3
coosh	kuS	5	0	16	456816	5033	3
blymb	blIm	5	0	6	26327	13	4
shrelp	SrElp	6	0	0	672554	24055	5
jewsh	_uS	5	0	7	220791	5767	3
durnte	d3nt	6	0	5	267577	12960	4
pruill	prul	6	0	7	396076	73579	4
lumf	lVmf	4	3	3	20199	1380	4
twielt	tw2lt	6	0	0	343832	14855	5
trosh	trQS	5	3	5	474851	10218	4
strolf	strQlf	6	1	0	569702	34986	6
wrinch	rInJ	6	1	8	776220	34098	4
lylb	lIlb	4	0	1	3136	0	4
heulte	hult	6	0	3	1974143	1052	4
yeace	jis	5	1	7	446941	68936	3
chaun	J9n	5	1	28	826631	20429	3
nourle	n9l	6	0	31	860588	50923	3
sysck	sIsk	5	0	8	109302	0	4
gruck	grVk	5	1	5	185572	7148	4
tov	tQv	3	10	8	992836	365	3
whomn	wQm	5	0	20	591600	66192	3
squipe	skw2p	6	0	0	100463	14899	5
noult	n6lt	5	0	1	755642	99457	4
swirf	sw3f	5	2	4	297027	3065	4
nonk	nQNk	4	5	2	481704	2292	4
lought	l9t	6	4	32	762417	168309	3
skyc	skIk	4	0	10	26612	1353	4
phream	frim	6	0	10	706089	62348	4
foob	fub	4	4	6	335673	8023	3
fewl	fjul	4	3	6	109102	9953	4
dwarme	dw#m	6	0	1	745173	22829	4
quyln	kwIln	5	0	2	20783	0	5
flunt	flVnt	5	5	6	162603	7785	5
zeic	z1k	4	0	12	147738	60	3
ghoott	gut	6	0	27	588465	18358	3
scorp	sk9p	5	4	9	467458	5509	4
jarth	_#T	5	1	6	2187368	34334	3
ghlurf	gl3f	6	0	0	201166	868	4
krose	kr5s	5	1	11	507170	39501	4
reighm	r1m	6	0	36	631916	68627	3
spouch	sp6J	6	1	4	725582	52185	4
dwoice	dw4s	6	0	0	315033	19373	4
ghlark	gl#k	6	0	3	482146	15791	4
sheuk	Suk	5	1	13	1907787	81316	3
nin	nIn	3	17	30	473035	1287	3
smelb	smElb	5	2	3	320963	3481	5
scoash	sk5S	6	0	1	704818	13307	4
smyt	smIt	4	1	8	63637	470	4
kurgue	k3g	6	0	12	117274	5537	3
fres	frEs	4	6	6	661921	22006	4
glulmn	glVlm	6	0	0	138349	246	5
brorme	br9m	6	0	7	825092	19687	4
swilv	swIlv	5	1	2	310130	40848	5
plurr	pl3	5	0	7	127266	3215	3
brurmb	br3m	6	0	3	164826	864	4
shreuk	Sruk	6	0	3	585571	15951	4
ghwutt	gwVt	6	0	1	274924	249	4
fruige	fru_	6	0	2	284515	3118	4
peaff	pif	5	0	25	290445	7945	3
thwerk	Tw3k	6	0	2	2333224	61643	4
splilt	splIlt	6	2	1	293151	6306	6
splu	splu	4	0	2	76663	2749	4
gurne	g3n	5	0	16	284046	21277	3
pisp	pIsp	4	4	4	396140	401	4
yorte	j9t	5	0	25	641887	17273	3
fap	f{p	3	20	21	55327	0	3
shrymb	SrIm	6	0	5	204921	2388	4
wroice	r4s	6	0	5	390195	25078	3
smarp	sm#p	5	3	2	362959	16559	4
kewph	kjuf	5	0	5	185171	0	4
shrysc	SrIsk	6	0	3	241907	2401	5
stieg	st2g	5	2	5	358075	19947	4
thwusp	TwVsp	6	0	0	2056276	30	5
sprid	sprId	5	2	5	214233	15128	5
skoatt	sk5t	6	0	12	453487	4607	4
skawte	sk9t	6	0	15	135661	89	4
pawth	p9T	5	0	17	1957299	2331	3
noite	n4t	5	1	16	679884	21782	3
cramf	kr{mf	5	2	3	139616	5590	5
twose	tw5s	5	1	1	468524	57767	4
slalch	sl{lJ	6	0	0	444826	2210	5
quyse	kw2s	5	0	2	289400	411	4
crif	krIf	4	2	4	162975	3604	4
gwiete	gwit	6	0	4	374440	72	4
thilv	TIlv	5	0	0	2372568	134417	4
noull	n6l	5	0	15	948653	107903	3
thwirr	Tw3	6	0	0	2183620	441	3
freem	frim	5	2	10	728773	53668	4
phluzz	flVz	6	0	14	17973	197	4
cruce	krus	5	2	12	176049	3967	4
glerth	gl3T	6	0	0	2320240	10872	4
prawsh	pr9S	6	0	1	268963	8151	4
skault	sk9lt	6	0	2	171132	2287	5
spluin	splun	6	0	1	555214	3103	5
saule	s9l	5	1	38	363747	4412	3
slourk	sl9k	6	0	6	643364	54926	4
swaub	sw9b	5	0	6	282283	1082	4
tuige	tu_	5	0	5	174766	51	3
thrurr	Tr3	6	0	6	2038319	35019	3
phrilk	frIlk	6	0	3	247754	5694	5
bourm	b9m	5	1	24	573191	52646	3
gnaiff	n1f	6	0	11	208099	1903	3
phrark	fr#k	6	0	2	378941	11113	4
splad	spl{d	5	2	3	340677	30046	5
sckolv	skQlv	6	0	0	150990	804	5
groogn	grun	6	0	12	386529	32746	4
zoogn	zun	5	0	11	152251	194	3
lontch	lQnJ	6	0	4	626727	35906	4
smotch	smQJ	6	1	4	447698	14362	4
fuimb	fum	5	0	17	123914	1746	3
swoosh	swuS	6	0	3	501453	5373	4
clerch	kl3J	6	1	1	616764	15111	4
yalge	j{l_	5	0	0	206352	154	4
krarpe	kr#p	6	0	5	359690	2208	4
belc	bElk	4	2	6	254871	1680	4
gwolte	gwQlt	6	0	0	292101	572	5
skrulp	skrVlp	6	0	0	175670	2886	6
psoarc	s9k	6	0	35	402845	7232	3
psog	sQg	4	0	17	129418	0	3
gleaf	glif	5	2	4	364841	35021	4
velp	vElp	4	4	5	243217	8266	4
spromf	sprQmf	6	0	0	384565	80812	6
draum	dr9m	5	0	7	108592	5261	4
phalb	f{lb	5	0	0	695555	12877	4
rin	rIn	3	17	37	533531	12469	3
seumb	sum	5	0	22	261257	932	3
biese	bis	5	0	24	475397	25164	3
phupe	fjup	5	0	5	122684	159	4
vauph	v9f	5	0	1	73851	101	3
hilse	hIls	5	0	5	752032	27974	4
kneif	n1f	5	0	11	337193	9731	3
dwielt	dw2lt	6	0	1	317414	12223	5
whoap	w5p	5	1	21	476441	54561	3
glys	glIs	4	2	4	29838	0	4
gnenn	nEn	5	0	27	387756	594	3
quoote	kwut	6	0	5	387274	12180	4
sluck	slVk	5	7	15	135928	6710	4
woote	wut	5	1	33	493742	14246	3
voit	v4t	4	2	7	398039	4242	3
groone	grun	6	1	12	803798	118168	4
floabb	fl5b	6	0	6	135888	7834	4
veaff	vif	5	0	8	394630	2766	3
theum	Tum	5	3	13	3652169	1311217	3
yoine	j4n	5	0	10	799423	28088	3
praive	pr1v	6	1	10	376231	47749	4
breff	brEf	5	0	5	453951	7402	4
merche	m3S	6	0	7	2420359	25034	3
twaibe	tw1b	6	0	1	562871	3650	4
stisck	stIsk	6	0	1	756023	18302	5
steln	stEln	5	2	1	422559	18515	5
trieve	triv	6	1	5	328616	26976	4
phauve	f9v	6	0	14	727068	1094	3
knaln	n{ln	5	0	0	184305	72	4
gleiff	gl1f	6	0	2	290600	1496	4
smome	sm5m	5	2	2	474373	61022	4
poarg	p9g	5	0	16	304329	10945	3
blad	bl{d	4	7	13	297085	10283	4
clolmb	klQlm	6	0	0	198878	14317	5
smeuth	smuT	6	1	3	2301050	13641	4
knoob	nub	5	0	8	391684	27259	3
gloole	glul	6	0	3	445403	53378	4
ghilc	gIlk	5	0	7	585494	20995	4
rurm	r3m	4	0	16	130501	0	3
tabe	t1b	4	8	8	240503	229	3
chelp	JElp	5	2	4	2035667	39984	4
yawthe	j9D	6	0	6	3666297	1313426	3
steugn	stun	6	0	11	398782	10295	4
wuv	wVv	3	2	12	490	0	3
wulv	wVlv	4	0	0	116717	0	4
smersh	sm3S	6	0	2	700056	4594	4
splewn	splun	6	1	1	306236	5327	5
tawp	t9p	4	2	20	80656	6	3
thault	T9lt	6	0	5	2593311	225077	4
shruif	Sruf	6	0	3	309380	5374	4
skeape	skip	6	0	11	435403	14056	4
molk	mQlk	4	8	3	160816	604	4
ghelc	gElk	5	0	1	1939042	17329	4
smirp	sm3p	5	1	2	164846	4406	4
neagg	nig	5	0	11	405989	5328	3
ghwou	gw6	5	0	0	657724	50269	3
spalph	sp{lf	6	0	0	224335	8071	5
wawnte	w9nt	6	0	13	486522	2680	4
nirche	n3S	6	0	4	2080640	23508	3
skaigg	sk1g	6	0	3	208427	2216	4
sloute	sl6t	6	0	13	790028	60905	4
souche	s6S	6	1	4	2526963	68288	3
shom	SQm	4	8	11	500843	50460	3
ghlarg	gl#g	6	0	1	462914	14956	4
kraumn	kr9m	6	0	7	85473	279	4
smove	sm5v	5	4	3	278032	28407	4
skol	skQl	4	0	11	85446	0	4
cleeph	klif	6	0	6	381051	23860	4
zawthe	z9D	6	0	0	3664405	1313285	3
phlirg	fl3g	6	0	3	215582	53	4
gwaill	gw1l	6	0	2	688114	76164	4
cliec	kl2k	5	0	11	173707	7747	4
zoulte	z6lt	6	0	0	649523	99325	4
choush	J6S	6	0	0	1109420	86407	3
snoarp	sn9p	6	0	7	465999	5392	4
glign	glIn	5	0	4	177643	11961	4
hoobb	hub	5	0	10	356185	12475	3
knonn	nQn	5	1	24	489911	29168	3
wrofe	r5f	5	1	26	778243	5695	3
praub	pr9b	5	0	2	105056	2636	4
plure	pl9	5	1	11	517288	9489	3
woff	wQf	4	4	19	664857	13410	3
creg	krEg	4	3	3	416071	4172	4
joal	_5l	4	4	25	174944	1783	3
corlt	k9lt	5	0	13	485654	15345	4
thenn	TEn	5	0	18	3856819	1385845	3
stuite	stut	6	0	9	746980	34463	4
cazz	k{z	4	1	25	95386	112	3
plewnt	plunt	6	0	2	346806	4345	5
tuinte	tunt	6	0	4	654330	12655	4
sloal	sl5l	5	1	6	264918	6204	4
whauch	w9J	6	0	17	1052966	82471	3
choon	Jun	5	1	15	791903	31666	3
gribe	gr2b	5	5	7	298093	4320	4
graup	gr9p	5	2	5	176380	7520	4
heeke	hik	5	0	34	2075127	15967	3
speilt	sp1lt	6	1	4	273871	15147	5
skeap	skip	5	0	11	384605	10177	4
gweuse	gwus	6	0	0	555682	66106	4
zamp	z{mp	4	7	8	66331	4054	4
ghope	g5p	5	1	18	385162	15652	3
prormb	pr9m	6	0	5	596420	13165	4
snezz	snEz	5	0	6	176615	231	4
ghusp	gVsp	5	0	4	286545	3434	4
smorm	sm9m	5	1	3	487169	51255	4
phrein	fr1n	6	0	11	950224	15729	4
swoose	swus	6	0	4	594696	40262	4
snauv	sn9v	5	0	3	26804	1713	4
phlisk	flIsk	6	0	2	476159	3648	5
jezz	_Ez	4	1	13	4149	0	3
sckylt	skIlt	6	0	5	109677	0	5
chait	J1t	5	4	21	1225649	29698	3
dwutch	dwVJ	6	0	0	374131	12590	4
nolch	nQlJ	5	1	0	454386	304	4
sunch	sVnJ	5	5	9	322747	14812	4
twuc	twVk	4	0	2	70808	0	4
clomn	klQm	5	1	11	278525	14270	4
stoot	stut	5	7	9	1507207	53270	4
mev	mEv	3	4	7	225072	0	3
quoofe	kwuf	6	0	2	741185	2080	4
ghluzz	glVz	6	0	7	122660	176	4
tryt	trIt	4	1	12	68598	4305	4
knove	n5v	5	1	17	409581	46530	3
psyln	sIln	5	0	4	18408	0	4
kuidge	ku_	6	0	12	182778	8075	3
wholp	wQlp	5	3	2	513167	65402	4
thogn	TQn	5	1	12	2098522	28018	3
gluck	glVk	5	2	5	130922	6168	4
chusp	JVsp	5	1	2	373980	6683	4
sckic	skIk	5	0	10	192672	724	4
smoop	smup	5	5	7	275462	6559	4
phrule	frul	6	0	4	319467	7432	4
phlysk	flIsk	6	0	2	52211	21	5
sproop	sprup	6	0	1	409554	24796	5
freilt	fr1lt	6	0	0	682485	13030	5
chav	J{v	4	4	6	844552	94840	3
squilp	skwIlp	6	0	0	164396	17540	6
trawt	tr9t	5	3	7	144090	19186	4
twoart	tw9t	6	0	4	459343	49549	4
knelve	nElv	6	0	3	446237	14462	4
smirge	sm3_	6	0	3	241389	15652	4
quome	kw5m	5	1	3	386805	59181	4
gwim	gwIm	4	2	2	274547	443	4
curph	k3f	5	0	16	92528	1994	3
dawte	d9t	5	0	27	140605	708	3
stelv	stElv	5	0	1	425429	20147	5
rhaig	r1g	5	0	21	733717	9217	3
lorsh	l9S	5	0	11	677768	9859	3
slin	slIn	4	7	9	565131	11688	4
wharnt	w#nt	6	0	4	1135370	63195	4
dorve	d9v	5	0	8	673122	4138	3
scoile	sk4l	6	0	8	383432	29445	4
snigg	snIg	5	0	7	94079	8517	4
proign	pr4n	6	0	5	308137	8325	4
jeache	_iS	6	0	5	2259212	54117	3
gwalck	gw{lk	6	0	0	457428	9600	5
ghlone	gl5n	6	0	11	629278	92230	4
brerge	br3_	6	0	1	735516	18953	4
phulte	fVlt	6	0	5	242348	1240	4
sirthe	s3D	6	0	11	3836447	1327102	3
stos	stQs	4	2	3	1296897	16877	4
skaumb	sk9m	6	0	9	50807	1018	4
thrant	Tr{nt	6	0	2	2778582	65672	5
gewnte	_unt	6	0	4	333332	146	4
dwoarg	dw9g	6	0	1	397336	10896	4
smeite	sm1t	6	0	8	759233	22472	4
triss	trIs	5	6	10	530540	22575	4
thrup	TrVp	5	1	2	2010561	34219	4
ceich	s1J	5	1	12	423466	58249	3
wrirce	r3s	6	0	9	289525	9395	3
skuinn	skun	6	0	10	506649	1550	4
wrarnt	r#nt	6	0	4	409729	8269	4
crusc	krVsk	5	2	1	200029	5723	5
dulv	dVlv	4	1	3	122311	599	4
smoobe	smub	6	0	1	435962	5648	4
wilth	wIlT	5	4	7	2211546	45649	4
nanc	n{Nk	4	0	11	760166	7905	4
gynck	gINk	5	0	12	103334	25	4
moof	muf	4	10	16	753898	4576	3
balte	b{lt	5	1	7	290055	7096	4
norge	n9_	5	3	12	634983	18895	3
blonge	blQn_	6	1	2	515292	55857	5
brupe	brup	5	1	11	160544	1020	4
psoune	s6n	6	0	20	786739	51046	3
newtch	njuJ	6	0	3	432563	39949	4
taz	t{z	3	8	25	64560	0	3
gnalgn	n{ln	6	0	0	153787	114	4
trewph	truf	6	0	6	507358	19183	4
plowte	pl6t	6	0	9	372108	9980	4
cherte	J3t	6	0	16	2320606	170769	3
shamph	S{mf	6	0	1	780149	17271	4
ploarm	pl9m	6	0	3	417998	15869	4
veithe	v1D	6	0	8	4226074	1432230	3
knoite	n4t	6	0	16	717652	48647	3
fluish	fluS	6	0	6	557924	8212	4
feaque	fik	6	0	26	303799	6734	3
bith	bIT	4	6	16	2278531	124990	3
gleint	gl1nt	6	0	2	731256	13908	5
kreebb	krib	6	0	10	577120	30868	4
twier	tw7	5	0	2	481976	3372	3
jamf	_{mf	4	2	2	60546	422	4
gleeke	glik	6	0	7	468341	14444	4
glarv	gl#v	5	1	3	353657	12381	4
scrulb	skrVlb	6	0	0	180822	7995	6
loove	luv	5	2	17	415574	47658	3
cradd	kr{d	5	0	16	263417	8747	4
pluite	plut	6	0	7	525856	33500	4
queunt	kwunt	6	0	1	164441	6607	5
doarch	d9J	6	0	9	627966	13153	3
jirce	_3s	5	0	12	206254	6392	3
sparfe	sp#f	6	1	8	374483	17877	4
blel	blEl	4	2	2	235814	1399	4
kelc	kElk	4	1	3	209492	256	4
preege	pri_	6	0	2	667793	36045	4
dwoarp	dw9p	6	0	1	387903	4054	4
shrask	Sr{sk	6	1	1	704275	21314	5
tirdge	t3_	6	0	13	276019	11733	3
bluick	bluk	6	0	9	202855	16070	4
plulk	plVlk	5	2	1	175744	2319	5
truinn	trun	6	0	8	569868	13137	4
peegue	pig	6	0	19	266672	8170	3
lorlte	l9lt	6	0	6	586572	16494	4
keeff	kif	5	0	20	346258	7384	3
phlorb	fl9b	6	0	4	460621	3886	4
noul	n6l	4	4	15	736865	98412	3
scarmb	sk#m	6	0	7	386625	25695	4
fune	fjun	4	8	7	242084	3286	4
houthe	h6D	6	0	3	4433824	1426863	3
gwoch	gwQJ	5	0	1	330034	122	4
kootch	kuJ	6	0	17	489245	17758	3
skri	skr2	4	0	3	98875	0	4
brarne	br#n	6	0	8	531104	19950	4
ponck	pQNk	5	1	6	385167	10485	4
cheith	J1T	6	0	5	4267648	188034	3
remph	rEmf	5	0	0	461648	217	4
whosc	wQsk	5	1	4	534391	73980	4
strulf	strVlf	6	0	0	462752	37875	6
scooce	skus	6	1	5	347966	5015	4
waf	w{f	3	9	15	257924	9	3
vik	vIk	3	2	17	41803	0	3
gheth	gET	5	0	5	3817839	3519	3
krilge	krIl_	6	0	0	258495	1038	5
peunt	punt	5	0	6	183842	3954	4
sewth	sjuT	5	0	1	2194845	2333	4
feult	fult	5	1	4	189440	1088	4
muve	mjuv	4	4	6	191073	83	4
frurc	fr3k	5	0	2	216621	5381	4
gight	g2t	5	10	35	281287	142893	3
krauc	kr9k	5	0	10	120670	568	4
gwolp	gwQlp	5	0	0	192203	201	5
pruse	prus	5	5	8	429757	70171	4
spret	sprEt	5	3	5	505756	10076	5
deab	dib	4	6	9	275367	13112	3
smuff	smVf	5	3	8	75176	2281	4
zient	z2nt	5	0	1	317629	31506	4
gwas	gw{s	4	0	0	676183	188413	4
yoarlt	j9lt	6	0	5	448976	3542	4
knarch	n#J	6	0	6	500780	10648	3
dweelt	dwilt	6	0	1	454576	26985	5
gwik	gwIk	4	0	1	218601	0	4
larthe	l#D	6	0	9	4033792	1352011	3
blyl	blIl	4	0	3	23043	0	4
twuimn	twum	6	0	0	139905	5	4
blorv	bl9v	5	0	0	479555	9960	4
guidge	gI_	6	0	8	193674	9601	3
slursh	sl3S	6	0	6	325874	14981	4
sprilp	sprIlp	6	0	0	250467	12738	6
pharsh	f#S	6	0	6	1024346	37666	3
grulm	grVlm	5	0	0	191800	3000	5
ghuth	gVT	5	0	9	2182823	13655	3
prarb	pr#b	5	0	1	328080	3423	4
gralse	gr{ls	6	0	1	523364	15891	5
froam	fr5m	5	0	4	361899	84000	4
pleabe	plib	6	1	6	564434	37594	4
worch	w9J	5	3	17	691578	56292	3
swolb	swQlb	5	0	0	190890	826	5
plormn	pl9m	6	0	3	515212	13118	4
wrowl	r6l	5	2	19	349061	20710	3
smorsh	sm9S	6	0	2	685157	48952	4
fonge	fQn_	5	1	2	578111	35979	4
dwaf	dw{f	4	1	1	258283	245	4
glorsh	gl9S	6	0	0	684919	11058	4
nylb	nIlb	4	0	0	2141	0	4
mudge	mV_	5	5	17	115456	7941	3
keagg	kig	5	0	11	364626	1430	3
prourm	pr9m	6	0	5	737066	97080	4
skrolv	skrQlv	6	0	0	276061	4798	6
chenge	JEn_	6	1	0	2304022	108142	4
larb	l#b	4	5	12	343215	7039	3
voul	v6l	4	2	15	545608	98276	3
snorm	sn9m	5	3	5	584524	15498	4
ghlolv	glQlv	6	0	0	268442	856	5
glog	glQg	4	5	5	106441	1553	4
cyltch	sIlJ	6	0	6	229038	11818	4
thiegg	T2g	6	0	2	2298887	117698	3
meabb	mib	5	0	9	442675	15242	3
scros	skrQs	5	0	0	297744	13142	5
shruc	SrVk	5	2	4	263975	5320	4
jouce	_6s	5	2	7	573824	3366	3
scolm	skQlm	5	1	0	170197	5692	5
weph	wEf	4	1	18	200004	713	3
rerg	r3g	4	1	6	638707	342	3
gwaut	gw9t	5	0	2	431612	83	4
clabe	kl1b	5	1	3	310604	8052	4
rhelv	rElv	5	0	3	1832746	16637	4
grurve	gr3v	6	0	5	312180	4835	4
puim	pum	4	1	19	132213	0	3
downte	d6nt	6	0	10	519824	73730	4
jurfe	_3f	5	0	6	160484	259	3
krirb	kr3b	5	0	2	181127	0	4
sma	sm#	3	2	5	117309	9838	3
gnolse	nQls	6	0	3	537056	8210	4
wrerph	r3f	6	0	11	643807	678	3
phlate	fl1t	6	0	16	602172	28909	4
zelce	zEls	5	0	0	171321	239	4
rhalc	r{lk	5	0	2	691391	12309	4
blich	blIJ	5	0	5	393695	60521	4
sckraw	skr9	6	0	4	168767	4158	4
knoarc	n9k	6	0	24	511655	33304	3
bondge	bQn_	6	0	1	954098	10255	4
pilck	pIlk	5	0	4	198166	1602	4
strith	strIT	6	1	4	2650707	158860	5
nyldge	nIl_	6	0	1	234054	5803	4
stymf	stImf	5	0	0	257901	1865	5
smare	sm8	5	6	7	752795	102915	3
clurv	kl3v	5	0	3	129639	3752	4
gweuph	gwuf	6	0	0	230709	65	4
slieb	sl2b	5	0	6	143939	6493	4
zerdge	z3_	6	0	6	349924	6119	3
hiemb	h2m	5	0	24	457653	2429	3
jeuge	_u_	5	0	7	121490	2009	3
rhorbe	r9b	6	0	8	734278	6634	3
splisk	splIsk	6	0	0	535394	5547	6
stenn	stEn	5	2	10	556132	17010	4
speibb	sp1b	6	0	6	140439	10550	4
snighl	sn2l	6	0	7	199712	71396	4
kiz	kIz	3	5	24	24258	0	3
gwaite	gw1t	6	0	2	818735	27504	4
shrud	SrVd	5	3	5	226887	4260	4
kime	k2m	4	7	16	337800	39462	3
glilc	glIlk	5	0	0	218102	561	5
craln	kr{ln	5	0	0	219395	4648	5
squoce	skw5s	6	0	0	115876	3532	5
gluibb	glub	6	0	6	41710	202	4
scybb	skIb	5	0	8	21892	28	4
sckerc	sk3k	6	0	5	467168	8441	4
pooth	puT	5	2	10	2204071	25821	3
veke	vik	4	1	19	295965	155	3
blake	bl1k	5	8	12	294576	47367	4
smag	sm{g	4	7	8	132388	9849	4
psorc	s9k	5	0	35	498860	9340	3
purnt	p3nt	5	1	10	191679	14354	4
benck	bENk	5	1	2	488758	6725	4
rhirph	r3f	6	0	11	471735	4861	3
voc	vQk	3	5	18	17036	0	3
sturnt	st3nt	6	0	3	439315	26455	5
norve	n9v	5	2	11	715600	9890	3
landge	l{n_	6	0	3	1471112	523187	4
swaque	sw{k	6	0	8	292229	3525	4
snurc	sn3k	5	0	6	96999	4891	4
phlarm	fl#m	6	0	2	371304	17025	4
sprarb	spr#b	6	0	0	357547	7608	5
pendge	pEn_	6	0	3	918162	31655	4
phack	f{k	5	2	31	718655	36399	3
clalm	kl{lm	5	1	0	273705	9319	5
kryn	krIn	4	0	8	7223	0	4
zoutt	z6t	5	0	8	592124	54947	3
preul	prul	5	0	7	525915	5275	4
throdd	TrQd	6	0	5	2161760	55158	4
dolc	dQlk	4	3	1	215351	545	4
wem	wEm	3	7	16	230029	0	3
scrolt	skrQlt	6	1	0	306348	13056	6
ghlyth	glIT	6	0	1	2004298	498	4
skourf	sk9f	6	0	10	530401	49903	4
faig	f1g	4	4	18	221568	7010	3
quav	kw{v	4	2	1	113536	2733	4
drulth	drVlT	6	0	0	2077804	8976	5
gloitt	gl4t	6	0	2	495655	1267	4
splysk	splIsk	6	0	0	111446	1011	6
phumb	fVm	5	2	24	31435	1938	3
niec	n2k	4	0	18	59525	2081	3
snaimn	sn1m	6	0	2	212902	6168	4
gleut	glut	5	0	6	309580	329	4
skourp	sk9p	6	0	9	531606	49716	4
ghweav	gwiv	6	0	1	592365	10195	4
loursh	l9S	6	0	11	823040	65818	3
rhowlt	r6lt	6	0	0	368323	28721	4
drarke	dr#k	6	0	1	492323	18818	4
strurk	str3k	6	1	4	450746	35211	5
phrosc	frQsk	6	0	2	320169	24731	5
phoob	fub	5	0	6	359281	13808	3
scoz	skQz	4	2	10	106633	2289	4
onk	QNk	3	3	1	284539	204	3
crulck	krVlk	6	0	0	227557	4532	5
smerce	sm3s	6	0	1	576744	9659	4
grooff	gruf	6	0	7	922240	47865	4
wromf	rQmf	5	0	1	344894	77416	4
crogue	kr5g	6	2	8	237165	10272	4
dake	d1k	4	18	27	205882	37861	3
durnt	d3nt	5	1	5	176989	12960	4
sleubb	slub	6	0	7	158643	4173	4
keuv	kuv	4	0	17	131031	0	3
krurge	kr3_	6	0	0	184534	12293	4
zeuve	zuv	5	0	3	162119	83	3
ghleip	gl1p	6	0	3	315656	29	4
